,ville,prix_moy,nb_pieces_moy,surface_moy
0,"         ville
0  Paris 18ème",1373.5311999999999,2.1600000000000001,48.372199999999992
0,"       ville
0  Lyon 3ème",865.02440000000001,2.5600000000000001,62.189399999999999
0,"      ville
0  Toulouse",617.9076,2.6200000000000001,52.733800000000002
0,"      ville
0  Grenoble",726.35580000000004,2.8799999999999999,62.372399999999992
0,"               ville
0  Bordeaux Cauderan",957.60360000000003,3.3999999999999999,79.8536
0,"   ville
0  Lille",764.86000000000001,2.6200000000000001,56.852600000000002
0,"    ville
0  Nantes",706.98759999999993,2.7200000000000002,59.609400000000008
0,"             ville
0  Aix en Provence",1082.9960000000001,3.2400000000000002,69.633399999999995
0,"    ville
0  Rennes",665.96000000000004,2.9399999999999999,62.670199999999994
0,"        ville
0  Strasbourg",930.25999999999999,3.04,79.146999999999991
0,"         ville
0  Montpellier",755.54279999999994,2.7000000000000002,60.6404
0,"          ville
0  Villeurbanne",674.44659999999999,2.3999999999999999,55.687599999999996
